method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
MultiSub-SpaCE;145.63 ± 82.65;615.8 ± 639.51;0.11 ± 0.12;12090.69 ± 18297.06;433.92 ± 424.51;0.63 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.44 ± 0.07;0.8 ± 0.16;0.89 ± 0.15;0.02 ± 0.04;0.02 ± 0.04;0.03 ± 0.06;43.84 ± 35.55;0.02 ± 0.01;102.18 ± 27.73;20.79 ± 22.75
AB-CF;145.63 ± 82.65;3305.51 ± 1298.24;0.61 ± 0.24;40349.5 ± 31465.24;815.47 ± 501.02;0.63 ± 0.09;0.82 ± 0.39;nan ± nan;0.42 ± 0.03;0.8 ± 0.14;0.9 ± 0.09;0.01 ± 0.02;0.05 ± 0.09;0.06 ± 0.15;15.56 ± 6.32;0.01 ± 0.0;1.48 ± 1.14;0.0 ± 0.0
COMTE;145.63 ± 82.65;2704.04 ± 127.7;0.5 ± 0.02;32720.47 ± 19230.86;764.11 ± 375.61;0.78 ± 0.11;0.98 ± 0.14;nan ± nan;0.62 ± 0.29;0.81 ± 0.14;0.91 ± 0.13;0.2 ± 0.26;0.04 ± 0.05;0.04 ± 0.07;5.26 ± 3.04;0.0 ± 0.0;1546.05 ± 287.94;0.0 ± 0.0
DiscoX;145.63 ± 82.65;644.94 ± 283.55;0.12 ± 0.05;12028.73 ± 11081.29;673.94 ± 559.09;0.5 ± 0.0;0.17 ± 0.38;nan ± nan;0.61 ± 0.24;0.81 ± 0.12;0.84 ± 0.19;0.2 ± 0.24;0.0 ± 0.0;0.0 ± 0.0;226.06 ± 218.2;0.08 ± 0.08;1380.61 ± 824.89;0.0 ± 0.0
